player_id,player_name,n_pairs,r,p,is_reputation
1629611,Terance Mann,4,0.9589230174483396,0.0410769825516603,False
1628991,Jaren Jackson Jr.,4,0.9588156417857494,0.0411843582142505,False
201937,Ricky Rubio,4,0.8502613457280896,0.1497386542719103,False
1630171,Isaac Okoro,4,0.7989242532753396,0.2010757467246604,False
1629014,Anfernee Simons,5,0.7907238306335251,0.1112467769716621,False
1628370,Malik Monk,4,0.7542079593561097,0.2457920406438902,False
202689,Kemba Walker,4,0.7238776575150282,0.2761223424849719,False
1626162,Kelly Oubre Jr.,7,0.7212999495013777,0.0673243785934669,False
200782,P.J. Tucker,5,0.6912946922192269,0.1960828304577523,False
1626172,Kevon Looney,5,0.6859702696663745,0.2009985262614124,False
1627783,Pascal Siakam,7,0.6848386897406867,0.0895835228722751,False
1629018,Gary Trent Jr.,5,0.6468749444140993,0.2381038534784052,False
201950,Jrue Holiday,7,0.6384064204604744,0.1228129946678488,False
202691,Klay Thompson,4,0.6149805357883881,0.385019464211612,False
1627827,Dorian Finney-Smith,6,0.5486692771611987,0.2595812285210591,False
1628989,Kevin Huerter,6,0.5338993774652451,0.2752445542323825,False
1627759,Jaylen Brown,7,0.5288576670643983,0.2222796071044523,False
