PLAYER_ID,PLAYER_NAME,SEASON,TEAM_ABBREVIATION,clutch_ts,overall_ts,CLUTCH_FGA,OVERALL_FGA,clutch_fga_share,overall_fga_share,clutch_usg,overall_usg,player_clutch_poss,player_overall_poss
101108,Chris Paul,2017-18,HOU,0.7973251028806584,0.603748715428265,27,798,0.14917127071823205,0.1155516941789748,0.1650898770104068,0.11435609040841141,41.88,1023.24
203081,Damian Lillard,2017-18,POR,0.6108848574601999,0.5939263313394522,90,1415,0.30201342281879195,0.19840157038698822,0.2925390740194633,0.20651429587798478,119.03999999999999,1857.72
1628368,De'Aaron Fox,2017-18,SAC,0.46928327645051193,0.47802446760308115,52,797,0.1897810218978102,0.11284156873849639,0.18608873255418132,0.12009682365627602,65.6,1055.8
1626164,Devin Booker,2017-18,PHX,0.4712460063897764,0.5614134605759284,56,1054,0.30939226519337015,0.14759837557765018,0.24791542584871948,0.14986743108999193,66.6,1392.76
1628378,Donovan Mitchell,2017-18,UTA,0.49872665534804755,0.5413082509312109,85,1362,0.44502617801047123,0.20038252170075033,0.40856446205425173,0.19451785161019883,107.24,1707.68
203507,Giannis Antetokounmpo,2017-18,MIL,0.641753748296229,0.5979667941379064,70,1402,0.24305555555555555,0.2059644483619803,0.2375762423757624,0.21708899665323406,95.03999999999999,1907.04
1628369,Jayson Tatum,2017-18,BOS,0.6770833333333334,0.5861763589592207,51,835,0.16721311475409836,0.11971326164874552,0.17358339984038307,0.11979237131441044,69.6,1062.52
202710,Jimmy Butler III,2017-18,MIN,0.5329457364341085,0.5898014440433214,97,921,0.33448275862068966,0.13039784793996886,0.3402464682897505,0.13578702876541002,135.84,1216.0
203954,Joel Embiid,2017-18,PHI,0.584177927927928,0.5727399562418746,53,1056,0.23348017621145375,0.14877430262045646,0.23050123623286128,0.16127390293456645,82.03999999999999,1495.48
201142,Kevin Durant,2017-18,GSW,0.7248711340206185,0.6401097330971024,48,1222,0.26666666666666666,0.1750967187276114,0.28880809358204235,0.17896795694325635,73.08,1606.76
202681,Kyrie Irving,2017-18,BOS,0.587748344370861,0.6098981561605539,101,1087,0.33114754098360655,0.15584229390681004,0.3237230646448524,0.15117118092197238,129.8,1340.84
2544,LeBron James,2017-18,CLE,0.6338481338481339,0.6205751968417106,129,1580,0.4673913043478261,0.2273381294964029,0.46875,0.24233397188861328,173.4,2160.6400000000003
203999,Nikola Jokić,2017-18,DEN,0.5161290322580645,0.6033701599693305,51,1010,0.18411552346570398,0.14221346099690227,0.19616607071911005,0.14865764463714798,79.0,1357.72
202331,Paul George,2017-18,OKC,0.6020021645021645,0.5700796928013466,55,1340,0.15669515669515668,0.18556986566957484,0.1856801486857244,0.18750838617525484,83.92,1732.84
201566,Russell Westbrook,2017-18,OKC,0.48259317116715017,0.523749509307659,159,1687,0.452991452991453,0.2336241517795319,0.4386228869811488,0.25072391628973967,198.24,2317.04
201939,Stephen Curry,2017-18,GSW,0.7231404958677685,0.6751063317550758,33,864,0.18333333333333332,0.12379997134259922,0.19585836231425863,0.1280786641003707,49.56,1149.88
101108,Chris Paul,2018-19,HOU,0.4807692307692307,0.5597291553402857,16,720,0.06722689075630252,0.10051654334775932,0.07668639053254439,0.10520670997566058,25.92,961.32
203081,Damian Lillard,2018-19,POR,0.5008210180623974,0.5876432860262009,102,1533,0.36298932384341637,0.2064090480678605,0.35055957867017773,0.20955832312508507,127.8,1970.72
1628368,De'Aaron Fox,2018-19,SAC,0.5572597137014315,0.5441547126365248,78,1102,0.26440677966101694,0.14429749901793898,0.29234916027368857,0.15833176308020852,112.8,1512.48
1626164,Devin Booker,2018-19,PHX,0.511482254697286,0.5842888173994336,87,1255,0.3359073359073359,0.17518146286990507,0.3294392523364486,0.18560080859390185,112.8,1718.76
1628378,Donovan Mitchell,2018-19,UTA,0.4727095516569201,0.5366028258930667,85,1530,0.4271356783919598,0.21604066647839593,0.3976624857468643,0.2079788108819278,111.6,1922.24
203507,Giannis Antetokounmpo,2018-19,MIL,0.6655092592592592,0.6437075488752874,48,1247,0.192,0.16691205996519876,0.2420990566037736,0.19234450166000405,82.12,1816.84
1628369,Jayson Tatum,2018-19,BOS,0.642023346303502,0.5469410025344974,36,1036,0.13740458015267176,0.13956621312137948,0.16635752376536053,0.1370999725433967,57.4,1258.32
202710,Jimmy Butler III,2018-19,PHI,0.5997001499250375,0.5706368589141462,62,904,0.22962962962962963,0.12498271809760818,0.226355047240179,0.12271522786342585,91.03999999999999,1159.6
203954,Joel Embiid,2018-19,PHI,0.5847308031774051,0.5931050277523306,66,1199,0.24444444444444444,0.16576800774229228,0.2502237692690204,0.18102083492071552,100.64,1710.56
202695,Kawhi Leonard,2018-19,TOR,0.5920847616079775,0.6061803044574762,109,1129,0.35161290322580646,0.1545516769336071,0.3522761992056218,0.15542714784955539,138.36,1437.44
201142,Kevin Durant,2018-19,GSW,0.576761744966443,0.6312124760220224,76,1383,0.3261802575107296,0.1878820812389621,0.3342387789419221,0.19757211559216378,103.36,1830.64
