PLAYER_ID,player_name,seasons,clutch_ts,overall_ts,ts_diff
203954,Joel Embiid,1,0.40983606557377056,0.5916806120009562,-0.18184454642718567
201566,Russell Westbrook,1,0.33670033670033667,0.5046480743691899,-0.16794773766885324
201142,Kevin Durant,2,0.4851598173515982,0.6261011829851497,-0.14094136563355153
101108,Chris Paul,1,0.44052863436123346,0.5572109654350417,-0.11668233107380821
2544,LeBron James,2,0.5222841225626741,0.6313467462822805,-0.1090626237196064
1628369,Jayson Tatum,5,0.4558757316524088,0.5624077362486896,-0.10653200459628076
203507,Giannis Antetokounmpo,2,0.46419098143236076,0.5619549846806505,-0.09776400324828977
203999,Nikola Jokić,4,0.5160550458715596,0.6055871061899172,-0.08953206031835759
1629029,Luka Dončić,1,0.4807692307692308,0.5557305888118742,-0.07496135804264342
203081,Damian Lillard,1,0.5271084337349398,0.5655513468013468,-0.038442913066407014
202681,Kyrie Irving,1,0.5281690140845071,0.5661210824886078,-0.0379520684041007
1628378,Donovan Mitchell,1,0.4679144385026738,0.5050171639820439,-0.0371027254793701
201939,Stephen Curry,3,0.5767419962335216,0.607255281796719,-0.030513285563197323
202695,Kawhi Leonard,2,0.5952380952380952,0.6102843180808529,-0.015046222842757695
202331,Paul George,1,0.5464480874316939,0.5362969004893965,0.010151186942297441
1630162,Anthony Edwards,3,0.6109481915933529,0.5848375451263538,0.02611064646699912
1628983,Shai Gilgeous-Alexander,2,0.6306475903614458,0.5761709656392587,0.05447662472218706
1629630,Ja Morant,1,0.6169212690951822,0.5488572971027533,0.06806397199242886
202710,Jimmy Butler III,2,0.7178669097538741,0.6097082810539524,0.10815862869992177
