PLAYER_ID,player_name,clutch_pts,clutch_fga,clutch_fta,overall_pts,overall_fga,overall_fta,clutch_gp,seasons,clutch_ts,overall_ts,ts_diff
1628467,Maxi Kleber,121,86,28,2821,2249,434,171,8,0.6153376729048007,0.5780832472663486,0.03725442563845205
1630567,Scottie Barnes,241,177,72,4756,3953,1014,133,4,0.5774391412689285,0.5405577428418152,0.03688139842711324
1631117,Walker Kessler,87,47,32,1838,1183,404,58,3,0.7121807465618861,0.6753578882389253,0.03682285832296084
1627936,Alex Caruso,102,69,35,2112,1679,412,122,5,0.6042654028436019,0.5676564818199411,0.036608921023660757
203471,Dennis Schröder,519,372,183,8494,7103,1836,270,8,0.5734553168920711,0.5368582855929332,0.03659703129913783
1630529,Herbert Jones,112,66,52,2228,1665,482,83,3,0.6300630063006301,0.5934749717646558,0.036588034535974256
1630559,Austin Reaves,209,117,93,4052,2785,1021,119,4,0.6617274569402228,0.626422281587019,0.03530517535320388
201587,Nicolas Batum,146,108,23,3581,2886,405,174,7,0.6180155773789366,0.5843286991710724,0.0336868782078642
203939,Dwight Powell,79,35,44,3085,1815,930,123,5,0.7266372332597498,0.6935077780775111,0.033129455182238754
1631093,Jaden Ivey,122,84,53,2917,2369,775,66,3,0.5683935892657473,0.5381918819188192,0.030201707346928175
101150,Lou Williams,287,206,91,5214,4057,1488,121,4,0.583238497805235,0.553301129948299,0.029937367856935904
1630180,Saddiq Bey,154,113,45,4103,3360,842,125,4,0.5798192771084337,0.5499292316270292,0.029890045481404504
1627761,DeAndre' Bembry,41,33,10,1229,1072,250,58,3,0.5481283422459893,0.5198815566835872,0.02824678556240212
1627884,Derrick Jones Jr.,89,59,28,3042,2256,660,117,6,0.623948401570387,0.5973138548539114,0.026634546716475582
1629018,Gary Trent Jr.,265,199,64,5658,4751,748,168,6,0.5832893114985033,0.5568766092139555,0.02641270228454773
1628381,John Collins,261,164,83,7553,5380,1502,193,8,0.6508078994614003,0.6251572618558885,0.025650637605511784
1629028,Deandre Ayton,270,175,83,6542,4926,932,175,7,0.6382375189107413,0.612996806644578,0.025240712266163312
1630591,Jalen Suggs,98,69,42,2598,2187,548,70,4,0.5601280292638318,0.5349817966163122,0.025146232647519584
203552,Seth Curry,138,91,39,4050,3122,414,141,6,0.6379437869822485,0.6128637838361338,0.025080003146114693
202397,Ish Smith,82,73,11,2545,2409,288,80,4,0.52672147995889,0.5018298550313126,0.02489162492757735
202703,Nikola Mirotic,63,43,21,1556,1226,261,45,2,0.6029862174578866,0.580233286596462,0.022752930861424603
1628970,Miles Bridges,258,188,73,6642,5399,1119,155,6,0.5860439760130838,0.5637068520681133,0.02233712394497045
203200,Justin Holiday,152,117,42,4046,3536,492,182,6,0.5609684086211988,0.5391101351639449,0.021858273457253885
1627734,Domantas Sabonis,384,237,136,9922,6785,2613,249,8,0.6468130979652337,0.625226851105017,0.021586246860216707
1630558,Davion Mitchell,82,64,25,1899,1718,200,92,3,0.5466666666666666,0.5257475083056479,0.020919158361018764
1629656,Quentin Grimes,79,53,23,1891,1425,312,62,2,0.6257921419518377,0.6052052128939754,0.020586929057862302
202704,Reggie Jackson,346,262,127,5790,5153,845,162,7,0.5442305272429848,0.5240008688097306,0.020229658433254194
