player_id,player_name,season_n,season_n1,clutch_ts_n,clutch_ts_n1
1713,Vince Carter,2017-18,2018-19,0.0,0.5007704160246533
1713,Vince Carter,2018-19,2019-20,0.5007704160246533,0.5087209302325582
2037,Jamal Crawford,2017-18,2018-19,0.7368995633187773,0.6109979633401221
2199,Tyson Chandler,2017-18,2018-19,0.6756756756756757,0.20491803278688525
2544,LeBron James,2017-18,2018-19,0.6338481338481339,0.5657557643040136
2544,LeBron James,2018-19,2019-20,0.5657557643040136,0.44334975369458124
2544,LeBron James,2019-20,2020-21,0.44334975369458124,0.5429025423728814
2544,LeBron James,2020-21,2021-22,0.5429025423728814,0.4934210526315789
2544,LeBron James,2021-22,2022-23,0.4934210526315789,0.5601415094339622
2544,LeBron James,2022-23,2023-24,0.5601415094339622,0.6168177240684793
2544,LeBron James,2023-24,2024-25,0.6168177240684793,0.6623020706455541
2546,Carmelo Anthony,2019-20,2020-21,0.5681818181818181,0.42667509481668775
2546,Carmelo Anthony,2020-21,2021-22,0.42667509481668775,0.5927291886195996
2548,Dwyane Wade,2017-18,2018-19,0.5295763389288569,0.45093795093795097
2594,Kyle Korver,2017-18,2018-19,0.6795716639209225,0.45103092783505155
2733,Shaun Livingston,2017-18,2018-19,0.4518072289156626,0.5208333333333334
2738,Andre Iguodala,2017-18,2018-19,0.5,0.48586572438162545
2738,Andre Iguodala,2018-19,2019-20,0.48586572438162545,0.1288659793814433
2738,Andre Iguodala,2019-20,2020-21,0.1288659793814433,0.41666666666666663
2738,Andre Iguodala,2020-21,2021-22,0.41666666666666663,0.375
2772,Trevor Ariza,2017-18,2018-19,0.78125,0.4062038404726736
2772,Trevor Ariza,2018-19,2019-20,0.4062038404726736,0.07763975155279502
101107,Marvin Williams,2017-18,2018-19,0.36764705882352944,0.522351797862002
101107,Marvin Williams,2018-19,2019-20,0.522351797862002,0.9703196347031964
101108,Chris Paul,2017-18,2018-19,0.7973251028806584,0.4807692307692307
101108,Chris Paul,2018-19,2019-20,0.4807692307692307,0.6696428571428571
101108,Chris Paul,2019-20,2020-21,0.6696428571428571,0.5983246908655764
101108,Chris Paul,2020-21,2021-22,0.5983246908655764,0.6887052341597797
101108,Chris Paul,2021-22,2022-23,0.6887052341597797,0.5277044854881267
101108,Chris Paul,2022-23,2023-24,0.5277044854881267,0.5294117647058824
101108,Chris Paul,2023-24,2024-25,0.5294117647058824,0.6551362683438156
101139,CJ Miles,2017-18,2018-19,0.6439393939393939,0.5
101141,Ersan Ilyasova,2017-18,2018-19,0.6569602272727273,0.5450581395348837
101150,Lou Williams,2017-18,2018-19,0.5316578057032383,0.6040268456375839
101150,Lou Williams,2018-19,2019-20,0.6040268456375839,0.6170531039640987
