player_id,player_name,n_pairs,r,p
2544,LeBron James,7,0.2883482498448373,0.5305787294119727
2738,Andre Iguodala,4,-0.28429774638977795,0.715702253610222
101108,Chris Paul,7,-0.6709173128338345,0.09897425126459035
101150,Lou Williams,3,0.8903831348376475,0.30087298917119937
200746,LaMarcus Aldridge,4,-0.8631378524868392,0.13686214751316084
200752,Rudy Gay,3,-0.5833840432533364,0.6034565341650964
200768,Kyle Lowry,6,-0.3633196416365203,0.47899984498174
200782,P.J. Tucker,5,0.6912946922192269,0.1960828304577523
201142,Kevin Durant,5,-0.5794114527009431,0.30592712756821816
201143,Al Horford,7,0.38678904617115484,0.39136180187197483
201144,Mike Conley,6,-0.25435043089232107,0.6267018450696985
201152,Thaddeus Young,5,0.04412019797728246,0.9438426496938281
201565,Derrick Rose,3,-0.1644237105539809,0.8948471301310806
201566,Russell Westbrook,7,0.5409687463949188,0.20987874820153776
201568,Danilo Gallinari,3,0.6379750823927586,0.5595445368899278
201569,Eric Gordon,4,0.04503811106928495,0.954961888930715
201572,Brook Lopez,5,-0.08770511576717395,0.8884737079132704
201586,Serge Ibaka,3,-0.5882864519791683,0.5996055144776685
201587,Nicolas Batum,5,-0.14295348568784724,0.818607813941506
201588,George Hill,3,-0.8823336650978293,0.31194259751535675
201599,DeAndre Jordan,3,-0.8630989095450501,0.33704078426949197
201609,Goran Dragic,4,-0.8772242283648943,0.12277577163510567
201935,James Harden,7,0.06021113284221337,0.897967594207705
201937,Ricky Rubio,4,0.8502613457280896,0.14973865427191035
201939,Stephen Curry,5,0.20617709993943742,0.7393590656543915
201942,DeMar DeRozan,7,0.1689839626472152,0.7172022670462185
201950,Jrue Holiday,7,0.6384064204604744,0.12281299466784883
201959,Taj Gibson,4,-0.473242805486989,0.526757194513011
201961,Wayne Ellington,4,0.29267656440042605,0.7073234355995739
201976,Patrick Beverley,5,-0.4358471111334693,0.4631699274775025
201980,Danny Green,4,-0.5167860475110979,0.4832139524889021
201988,Patty Mills,4,-0.23284829522328512,0.7671517047767149
202066,Garrett Temple,4,0.37355277228583705,0.6264472277141628
202083,Wesley Matthews,5,-0.15469431620738802,0.8038254881297445
202324,Derrick Favors,3,-0.8789501063859231,0.3164891823891966
202330,Gordon Hayward,5,-0.5939177661802146,0.29096986262822633
202331,Paul George,7,0.0006982705071486017,0.9988145794588295
202339,Eric Bledsoe,4,0.4660485436711418,0.5339514563288583
202681,Kyrie Irving,7,-0.42821502267343753,0.3378146979997498
202683,Enes Freedom,3,0.10406665569868123,0.9336289413711696
202684,Tristan Thompson,3,-0.14115114520753583,0.9098392941547236
202685,Jonas Valančiūnas,6,0.11495867183473331,0.8283216101950193
202689,Kemba Walker,4,0.7238776575150282,0.2761223424849719
202691,Klay Thompson,4,0.6149805357883881,0.38501946421161204
202692,Alec Burks,5,-0.8035062434426726,0.10141994382972994
202693,Markieff Morris,3,-0.2414513866264535,0.8447531309757479
202694,Marcus Morris Sr.,5,-0.47561326357250283,0.4181063501000589
202695,Kawhi Leonard,4,-0.0006941782133792485,0.9993058217866206
202696,Nikola Vučević,7,0.14116311865555264,0.7627346082975214
202699,Tobias Harris,7,-0.6625791732367232,0.10483401817750644
202704,Reggie Jackson,6,-0.3365084845442979,0.5142900403684508
202709,Cory Joseph,5,-0.17151841278781504,0.7826915070536851
202710,Jimmy Butler III,7,-0.5737729637567994,0.17800889488921035
202711,Bojan Bogdanovic,6,-0.4858999310703686,0.32851028487264455
202722,Davis Bertans,3,-0.5332668693231795,0.6419283229606073
203076,Anthony Davis,7,-0.33855483777242273,0.45761580706979094
203078,Bradley Beal,7,-0.10716978723995699,0.8191059227855063
203081,Damian Lillard,7,-0.5546677956526469,0.19626177958067767
203082,Terrence Ross,4,-0.822029567914965,0.17797043208503505
203083,Andre Drummond,4,-0.2494015845198478,0.7505984154801522
